% time	cellId	IMSI	frame	sframe	RNTI	mcsTb1	sizeTb1	mcsTb2	sizeTb2	ccId
0.021	1	2	3	2	1	0	81	0	0	0
0.021	1	2	3	2	1	0	81	0	0	1
0.021	1	2	3	2	1	0	81	0	0	2
0.022	1	3	3	3	2	0	81	0	0	0
0.022	1	3	3	3	2	0	81	0	0	1
0.022	1	3	3	3	2	0	81	0	0	2
0.023	1	1	3	4	3	0	81	0	0	0
0.023	1	1	3	4	3	0	81	0	0	1
0.023	1	1	3	4	3	0	81	0	0	2
0.024	1	2	3	5	1	0	81	0	0	0
0.024	1	2	3	5	1	0	81	0	0	1
0.024	1	2	3	5	1	0	81	0	0	2
0.025	1	3	3	6	2	0	81	0	0	0
0.025	1	3	3	6	2	0	81	0	0	1
0.025	1	3	3	6	2	0	81	0	0	2
0.026	1	1	3	7	3	28	2196	0	0	0
0.026	1	1	3	7	3	28	2196	0	0	1
0.026	1	1	3	7	3	28	2196	0	0	2
0.027	1	2	3	8	1	28	2196	0	0	0
0.027	1	2	3	8	1	28	2196	0	0	1
0.027	1	2	3	8	1	28	2196	0	0	2
0.028	1	3	3	9	2	28	2196	0	0	0
0.028	1	3	3	9	2	28	2196	0	0	1
0.028	1	3	3	9	2	28	2196	0	0	2
0.029	1	1	3	10	3	28	2196	0	0	0
0.029	1	1	3	10	3	28	2196	0	0	1
0.029	1	1	3	10	3	28	2196	0	0	2
0.03	1	2	4	1	1	28	2196	0	0	0
0.03	1	2	4	1	1	28	2196	0	0	1
0.03	1	2	4	1	1	28	2196	0	0	2
0.031	1	3	4	2	2	28	2196	0	0	0
0.031	1	3	4	2	2	28	2196	0	0	1
0.031	1	3	4	2	2	28	2196	0	0	2
0.032	1	1	4	3	3	28	2196	0	0	0
0.032	1	1	4	3	3	28	2196	0	0	1
0.032	1	1	4	3	3	28	2196	0	0	2
0.033	1	2	4	4	1	28	2196	0	0	0
0.033	1	2	4	4	1	28	2196	0	0	1
0.033	1	2	4	4	1	28	2196	0	0	2
0.034	1	3	4	5	2	28	2196	0	0	0
0.034	1	3	4	5	2	28	2196	0	0	1
0.034	1	3	4	5	2	28	2196	0	0	2
0.035	1	1	4	6	3	28	2196	0	0	0
0.035	1	1	4	6	3	28	2196	0	0	1
0.035	1	1	4	6	3	28	2196	0	0	2
0.036	1	2	4	7	1	28	2196	0	0	0
0.036	1	2	4	7	1	28	2196	0	0	1
0.036	1	2	4	7	1	28	2196	0	0	2
0.037	1	3	4	8	2	28	2196	0	0	0
0.037	1	3	4	8	2	28	2196	0	0	1
0.037	1	3	4	8	2	28	2196	0	0	2
0.038	1	1	4	9	3	28	2196	0	0	0
0.038	1	1	4	9	3	28	2196	0	0	1
0.038	1	1	4	9	3	28	2196	0	0	2
0.039	1	2	4	10	1	28	2196	0	0	0
0.039	1	2	4	10	1	28	2196	0	0	1
0.039	1	2	4	10	1	28	2196	0	0	2
0.04	1	3	5	1	2	28	2196	0	0	0
0.04	1	3	5	1	2	28	2196	0	0	1
0.04	1	3	5	1	2	28	2196	0	0	2
0.041	1	1	5	2	3	28	2196	0	0	0
0.041	1	1	5	2	3	28	2196	0	0	1
0.041	1	1	5	2	3	28	2196	0	0	2
0.042	1	2	5	3	1	28	2196	0	0	0
0.042	1	2	5	3	1	28	2196	0	0	1
0.042	1	2	5	3	1	28	2196	0	0	2
0.043	1	3	5	4	2	28	2196	0	0	0
0.043	1	3	5	4	2	28	2196	0	0	1
0.043	1	3	5	4	2	28	2196	0	0	2
0.044	1	1	5	5	3	28	2196	0	0	0
0.044	1	1	5	5	3	28	2196	0	0	1
0.044	1	1	5	5	3	28	2196	0	0	2
0.045	1	2	5	6	1	28	2196	0	0	0
0.045	1	2	5	6	1	28	2196	0	0	1
0.045	1	2	5	6	1	28	2196	0	0	2
0.046	1	3	5	7	2	28	2196	0	0	0
0.046	1	3	5	7	2	28	2196	0	0	1
0.046	1	3	5	7	2	28	2196	0	0	2
0.047	1	1	5	8	3	28	2196	0	0	0
0.047	1	1	5	8	3	28	2196	0	0	1
0.047	1	1	5	8	3	28	2196	0	0	2
0.048	1	2	5	9	1	28	2196	0	0	0
0.048	1	2	5	9	1	28	2196	0	0	1
0.048	1	2	5	9	1	28	2196	0	0	2
0.049	1	3	5	10	2	28	2196	0	0	0
0.049	1	3	5	10	2	28	2196	0	0	1
0.049	1	3	5	10	2	28	2196	0	0	2
0.05	1	1	6	1	3	28	2196	0	0	0
0.05	1	1	6	1	3	28	2196	0	0	1
0.05	1	1	6	1	3	28	2196	0	0	2
0.051	1	2	6	2	1	28	2196	0	0	0
0.051	1	2	6	2	1	28	2196	0	0	1
0.051	1	2	6	2	1	28	2196	0	0	2
0.052	1	3	6	3	2	28	2196	0	0	0
0.052	1	3	6	3	2	28	2196	0	0	1
0.052	1	3	6	3	2	28	2196	0	0	2
0.053	1	1	6	4	3	28	2196	0	0	0
0.053	1	1	6	4	3	28	2196	0	0	1
0.053	1	1	6	4	3	28	2196	0	0	2
0.054	1	2	6	5	1	28	2196	0	0	0
0.054	1	2	6	5	1	28	2196	0	0	1
0.054	1	2	6	5	1	28	2196	0	0	2
0.055	1	3	6	6	2	28	2196	0	0	0
0.055	1	3	6	6	2	28	2196	0	0	1
0.055	1	3	6	6	2	28	2196	0	0	2
0.056	1	1	6	7	3	28	2196	0	0	0
0.056	1	1	6	7	3	28	2196	0	0	1
0.056	1	1	6	7	3	28	2196	0	0	2
0.057	1	2	6	8	1	28	2196	0	0	0
0.057	1	2	6	8	1	28	2196	0	0	1
0.057	1	2	6	8	1	28	2196	0	0	2
0.058	1	3	6	9	2	28	2196	0	0	0
0.058	1	3	6	9	2	28	2196	0	0	1
0.058	1	3	6	9	2	28	2196	0	0	2
0.059	1	1	6	10	3	28	2196	0	0	0
0.059	1	1	6	10	3	28	2196	0	0	1
0.059	1	1	6	10	3	28	2196	0	0	2
0.06	1	2	7	1	1	28	2196	0	0	0
0.06	1	2	7	1	1	28	2196	0	0	1
0.06	1	2	7	1	1	28	2196	0	0	2
0.061	1	3	7	2	2	28	2196	0	0	0
0.061	1	3	7	2	2	28	2196	0	0	1
0.061	1	3	7	2	2	28	2196	0	0	2
0.062	1	1	7	3	3	28	2196	0	0	0
0.062	1	1	7	3	3	28	2196	0	0	1
0.062	1	1	7	3	3	28	2196	0	0	2
0.063	1	2	7	4	1	28	2196	0	0	0
0.063	1	2	7	4	1	28	2196	0	0	1
0.063	1	2	7	4	1	28	2196	0	0	2
0.064	1	3	7	5	2	28	2196	0	0	0
0.064	1	3	7	5	2	28	2196	0	0	1
0.064	1	3	7	5	2	28	2196	0	0	2
0.065	1	1	7	6	3	28	2196	0	0	0
0.065	1	1	7	6	3	28	2196	0	0	1
0.065	1	1	7	6	3	28	2196	0	0	2
0.066	1	2	7	7	1	28	2196	0	0	0
0.066	1	2	7	7	1	28	2196	0	0	1
